gap_width,map_seed,search_seed,method,success,planning_time,first_solution_iteration,node_count,path_length
2.5,0,9,Hybrid,1,19.73534321784973,563,413,207.5723145369514
2.5,1,0,RRT*,1,15.137881994247437,612,523,152.10532380060636
2.5,1,0,GoalBias,1,18.954495191574097,861,549,215.7270321664114
2.5,1,1,GoalBias,1,16.72428607940674,1017,503,229.80826941065934
2.5,1,1,RRT*,1,29.72678804397583,1096,773,196.01913133830772
2.5,1,2,RRT*,1,26.38687491416931,867,646,192.94269287806284
2.5,1,2,GoalBias,1,18.15687918663025,648,527,199.16952051070243
2.5,1,3,RRT*,1,23.66166090965271,819,624,205.92374050632145
2.5,1,0,Hybrid,1,73.85505485534668,718,577,202.66965940280983
2.5,1,3,GoalBias,1,13.750619888305664,698,425,176.6023442396999
2.5,1,4,RRT*,1,13.796833038330078,551,497,127.71107821394317
2.5,1,4,GoalBias,1,33.89451003074646,1272,730,181.37609736482
2.5,1,3,Hybrid,1,79.55928492546082,1084,726,114.68556456762693
2.5,1,5,RRT*,1,10.971378326416016,478,412,187.44904705294877
2.5,1,5,GoalBias,1,7.976580858230591,438,329,164.9620254396356
2.5,1,1,Hybrid,0,,,,
2.5,1,5,Hybrid,1,11.454185962677002,464,371,160.39333298220154
2.5,1,6,RRT*,1,16.212849140167236,599,496,219.06969877719914
2.5,1,6,GoalBias,1,20.77504301071167,981,617,208.9035984725415
2.5,1,2,Hybrid,1,160.25880408287048,1181,831,189.1359442710121
2.5,1,7,GoalBias,1,4.618721961975098,235,217,164.3492813250736
2.5,1,7,RRT*,1,12.8818359375,459,448,213.00352574151466
2.5,1,4,Hybrid,1,88.30001497268677,1479,797,114.05912486532722
2.5,1,7,Hybrid,1,13.67496919631958,468,365,243.5335025959863
2.5,1,8,RRT*,1,14.495859861373901,674,476,119.37337004398158
2.5,1,8,Hybrid,1,8.70554494857788,355,238,206.44356620776966
2.5,1,8,GoalBias,1,11.994585037231445,597,409,207.70614465302788
2.5,1,9,RRT*,1,8.769124984741211,435,355,155.64937298892542
2.5,2,0,RRT*,1,7.2975921630859375,349,316,129.46775508415865
2.5,1,9,Hybrid,1,17.8622887134552,640,405,216.35752197823223
2.5,2,0,Hybrid,1,9.984907865524292,468,273,174.91695180536226
2.5,2,0,GoalBias,1,14.95034408569336,758,478,213.25097774593613
2.5,2,1,GoalBias,1,4.216120004653931,193,212,142.99360112680594
2.5,1,6,Hybrid,0,,,,
2.5,1,9,GoalBias,0,,,,
2.5,2,1,RRT*,1,11.413342237472534,507,435,197.96504741346646
2.5,2,2,GoalBias,1,2.974699020385742,152,164,123.7370909698658
2.5,2,2,RRT*,1,7.162168979644775,409,307,150.64624311122978
2.5,2,3,RRT*,1,12.553534984588623,553,448,219.57488011381295
2.5,2,2,Hybrid,1,22.863911151885986,631,489,117.73145867302289
2.5,2,3,GoalBias,1,23.09431028366089,932,606,227.65722035051675
2.5,2,3,Hybrid,1,13.996987104415894,622,345,110.57255893061377
2.5,2,1,Hybrid,1,46.42201900482178,1280,594,185.36924978735044
2.5,2,4,RRT*,1,17.33657717704773,708,581,130.5863125637154
2.5,2,4,Hybrid,1,13.38504409790039,402,325,115.53361493251069
2.5,2,4,GoalBias,1,18.044731855392456,794,558,215.7509737144678
2.5,2,5,GoalBias,1,7.7294111251831055,428,283,190.08628575451561
2.5,2,5,RRT*,1,14.109314203262329,501,541,183.93088915473507
2.5,2,5,Hybrid,1,12.011433839797974,511,337,170.15708984416437
2.5,2,6,GoalBias,1,7.2939677238464355,373,295,190.83991015022121
2.5,2,7,RRT*,1,13.428557872772217,540,462,194.412817849993
2.5,2,7,GoalBias,1,16.839536905288696,842,450,194.36219771781214
2.5,2,8,RRT*,1,11.62008285522461,490,376,195.09756900975964
2.5,2,6,RRT*,1,38.37397313117981,1500,806,148.72483410628698
2.5,2,6,Hybrid,1,32.21503806114197,482,411,250.59166017189156
2.5,2,9,RRT*,1,8.36009430885315,371,341,211.12233264565035
2.5,2,8,GoalBias,1,19.937262058258057,884,561,225.89381545284164
2.5,2,8,Hybrid,1,24.05905818939209,714,424,203.38207008280705
2.5,2,9,GoalBias,1,16.028005838394165,797,467,194.47077316459146
2.5,3,0,RRT*,1,6.903631210327148,349,294,129.46775508415865
2.5,3,0,GoalBias,1,13.848602771759033,904,454,173.7846707714355
2.5,2,7,Hybrid,1,62.812697887420654,1312,703,197.5848603786727
2.5,3,0,Hybrid,1,15.576375246047974,350,290,184.6673151210533
2.5,3,1,RRT*,1,11.308767795562744,588,443,189.29342804726275
2.5,3,1,GoalBias,1,5.273833990097046,273,249,137.79138539417167
